SampleName,taxon,country,Elevation,Latitude,Longitude,RMavDemes,mPTPgroups,NMMgroups,STRUCTURE,morphologicalSampling,F_MISS,chosenForBFD
FZ336_E_alpina_Plate5,alpina,Chile,2008,-33.29666,-70.315,deme1,group2,group4,group2,x (leaves only),0.106404,1
FZ337_E_alpina_Plate5,alpina,Chile,2005,-33.2966666,-70.315,deme1,group2,group4,group2,x,0.325123,0
FZ338_E_alpina_Plate4,alpina,Chile,1980,-33.29638889,-70.31444444,deme2,group10,group2,group1,x,0.104433,1
FZ347_E_myrtoidea_Plate1,myrtoidea,Chile,2086,-33.3002778,-70.3177778,deme1,group1,group3,group2,x (leaves only),0.0600985,0
FZ348_E_myrtoidea_Plate4,myrtoidea,Chile,2060,-33.3027778,-70.3197223,deme1,group1,group3,group2,x (leaves only),0.0374384,0
FZ352_E_myrtoidea_Plate5,myrtoidea,Chile,1901,-33.3177778,-70.3255556,deme1,group1,group3,group2,x (leaves only),0.0729064,0
FZ359_E_revoluta_Plate4,revoluta,Chile,399,-37.63666667,-72.78555556,deme1,group1,group3,group2,x,0.0334975,1
FZ360_E_revoluta_Plate1,revoluta,Chile,375,-37.6483333,-72.7597222,deme1,group1,group4,group2,x,0.340887,0
FZ362_E_leucantha_Plate4,leucantha,Chile,773,-37.76861,-72.80083,deme3,group6,group5,group1,x,0.689655,0
FZ363_E_leucantha_Plate5,leucantha,Chile,773,-37.60194,-72.80083,deme3,group6,group5,group1,x,0.441379,0
FZ365_E_revoluta_Plate4,revoluta,Chile,773,-37.6019444,-72.8008333,deme1,group1,group3,group2,x (leaves only),0.0413793,0
FZ366_E_rosea_Plate4,rosea,Chile,774,-37.60166667,-72.80083333,deme2,group6,group6,group1,x,0.0187192,0
FZ367_E_leucantha_Plate4,leucantha,Chile,775,-37.60194,-72.80083,deme3,group6,group5,group1,x,0.0916256,1
FZ368_E_leucantha_Plate5,leucantha,Chile,775,-37.60194,-72.80083,deme3,group6,group5,group1,x,0.0699507,1
FZ379_E_rosea_Plate1,rosea,Chile,984,-37.81,-73.05666667,deme2,group9,group1,group1,x,0.115271,0
