MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
FZ454_E_revoluta_Plate4,revoluta,Chile,664,-38.3477777,-71.8491666
FZ456_E_rosea_Plate1,rosea,Chile,1056,-38.28666,-71.77222
FZ457_E_rosea_Plate4,rosea,Chile,1068,-38.25333333,-71.74861111
FZ466_E_rosea_Plate4,rosea,Chile,1328,-35.46611111,-70.97725
FZ467_E_rosea_Plate5,rosea,Chile,1329,-35.46583,-70.97722
FZ477_E_rosea_Plate4,rosea,Chile,1661,-35.59666667,-71.0175
FZ478_E_rosea_Plate5,rosea,Chile,1660,-35.59666,-71.0175
FZ479_E_alpina_Plate4,alpina,Chile,1913,-35.59972222,-71.01166667
FZ489_E_alpina_Plate4,alpina,Chile,1921,-35.59944444,-71.01
FZ491_E_revoluta_Plate1,revoluta,Chile,438,-35.65194444,-71.25138889
FZ495_E_revoluta_Plate4,revoluta,Chile,437,-35.6477777,-71.2552778
FZ496_E_myrtoidea_Plate4,myrtoidea,Chile,342,-35.9208334,-71.3677778
FZ497_E_myrtoidea_Plate4,myrtoidea,Chile,342,-35.92055556,-71.36777778
FZ499_E_revoluta_Plate4,revoluta,Chile,266,-35.9697223,-71.4836111
FZ500_E_rubra_Plate4,rubra,Chile,528,-36.60027778,-71.46916667
FZ501_E_revoluta_Plate4,revoluta,Chile,530,-36.6005556,-71.4691667
FZ503_E_revoluta_Plate4,revoluta,Chile,529,-36.6002778,-71.4691667
FZ510_E_rosea_Plate4,rosea,Chile,725,-40.77027778,-72.27111111
FZ518_E_alpina_Plate4,alpina,Chile,1130,-40.77444444,-72.20027778
FZ523_E_alpina_Plate1,alpina,Chile,1276,-40.7780556,-72.1891666
FZ527_E_rosea_Plate1,rosea,Chile,592,-40.20777778,-73.4
FZ532_E_rosea_Plate4,rosea,Chile,900,-40.17722222,-73.44055556
FZ533_E_rubra_Plate1,rubra,Chile,35,-39.67555556,-73.35138889
FZ542_E_myrtoidea_Plate1,myrtoidea,Chile,920,-33.72972222,-70.47083333
FZ544_E_myrtoidea_Plate4,myrtoidea,Chile,920,-33.73,-70.4711111
FZ92_E_alpina_Plate5,alpina,Chile,2085,-33.30333,-70.32027
FZ94_E_alpina_Plate5,alpina,Chile,2165,-33.2961111,-70.3141667
FZ97_E_rubra_Plate5,rubra,Chile,27,-39.96472222,-73.56916667
FZ98_E_rubra_Plate5,rubra,Chile,12,-39.9397222,-73.5825
PHV318_E_rubra_Plate4,rubra,Chile,700,-40.68333,-71.7
PHV336_E_alpina_Plate4,alpina,Chile,140,-51.56794,-72.61786
