"","numMorphGroups","BIC.Best.Model.Per.G","taxonBIC","morphoGroupsBIC","deltaBIC_naive","deltaBIC_taxon","deltaBIC_morphoGroups"
"1",1,-197.016906885517,NA,NA,82.0130129534897,NA,NA
"2",2,-140.101729005655,-115.003893932027,-115.003893932027,25.0978350736276,0,0
"3",3,-115.899064424134,NA,NA,0.895170492106487,NA,NA
