Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
pendula,20,II,AN414,ANDES_2,2400,5.833333333,-72.96666667,186.67,40.67,12.67,2.07,2.07,2.07,9,2.87,4.93,5.97
pendula,20,II,FZ228,MO6273222,2540,-7.266611111,-78.51205556,125.5,37.5,6.92,1.51,0.7,1.56,8.97,2.5,5.4,6.8
herrerae,20,II,AS8172,MO2312077,1800,-5.244444444,-79.45166667,152,40,12.89,2.2,1.5,2.5,8.88,2.5,5.42,5.98
pendula,20,II,DS10848,MO3303837,1900,-9.533333333,-77.85,176.33,44.67,7.39,1.63,1.12,2.3,8.5,2.41,5.69,6.63
pendula,20,II,JB2640,MO3584871,3000,-2.460277778,-79.00472222,215,51,5,1.9,0.5,2.7,8.5,2.26,5.56,5
pendula,20,II,JH714,US2144882,2000,6.337222222,-72.68388889,208.33,46,6.07,1.87,1.82,1,8.5,2.61,5.13,6.83
pendula,20,II,AH21395,US1195613,2000,-3.999166667,-79.30416667,162,39,4.93,2.21,0.99,2.67,8.47,2.74,5.8,6.2
pendula,20,II,AG75032,MO5894702,2300,-4.583333333,-79.66666667,180,33,6.71,2.22,1.01,2.97,8.28,2.13,5.74,6.75
pendula,20,II,FZ235,MO6280739,2007,-7.320944444,-78.80055556,131,31.33,5.22,1.47,1.04,1.74,8.14,2.52,5.34,6.8
pendula,20,II,WC4029,GH__WC4029,2500,-2.377777778,-78.94722222,187.67,50,6.66,2.21,0.79,2.41,8.14,2.61,5.06,6.2
herrerae,20,II,WG5539,MOUNM_WG5539,3450,-13.6,-72.9,169.67,46,6.23,1.89,1.83,4.13,8.13,3.13,5.2,6.32
pendula,20,II,FZ234,MO6280740,2007,-7.320944444,-78.80055556,146.67,36.67,7.57,1.49,1.32,1.74,7.94,2.61,5.2,6.2
pendula,20,II,FW34334,MO1575383,2200,-9.775833333,-76.08333333,198.67,34.67,7.14,1.6,0.98,0.73,7.89,1.83,5.54,5
pendula,20,II,FZ229,MO6273221,2540,-7.266611111,-78.51205556,153.33,38,7.7,1.56,0.96,1.33,7.88,2.28,4.9,6.2
pendula,20,II,MW7204,F2247319,1350,-12.86666667,-76.05833333,159,30.5,7.75,1.38,1.17,1.76,7.85,2.31,4.8,5.92
