,SpeciesID,SpecimenID,species,MorphogroupID,Latitude,Longitude,Elevation,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim2.n1,probass.dim2.n1.g1,probass.dim2.n1.g2,probass.dim2.n1.g3,NMDS1.dim2.n1,NMDS2.dim2.n1,class.dim2.n2,probass.dim2.n2.g1,probass.dim2.n2.g2,probass.dim2.n2.g3,NMDS1.dim2.n2,NMDS2.dim2.n2,class.dim2.n3,probass.dim2.n3.g1,probass.dim2.n3.g2,probass.dim2.n3.g3,NMDS1.dim2.n3,NMDS2.dim2.n3,class.dim2.n4,probass.dim2.n4.g1,probass.dim2.n4.g2,probass.dim2.n4.g3,NMDS1.dim2.n4,NMDS2.dim2.n4,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim3.n1,probass.dim3.n1.g1,probass.dim3.n1.g2,probass.dim3.n1.g3,NMDS1.dim3.n1,NMDS2.dim3.n1,NMDS3.dim3.n1,class.dim3.n2,probass.dim3.n2.g1,probass.dim3.n2.g2,probass.dim3.n2.g3,NMDS1.dim3.n2,NMDS2.dim3.n2,NMDS3.dim3.n2,class.dim3.n3,probass.dim3.n3.g1,probass.dim3.n3.g2,probass.dim3.n3.g3,NMDS1.dim3.n3,NMDS2.dim3.n3,NMDS3.dim3.n3,class.dim3.n4,probass.dim3.n4.g1,probass.dim3.n4.g2,probass.dim3.n4.noise,NMDS1.dim3.n4,NMDS2.dim3.n4,NMDS3.dim3.n4
20,FZ205_E_resinosa,FZ205,resinosa,24,-13.21311111,-71.63272222,3383,1,1,0,0,-0.333029268,0.124576553,1,1,0,0,-0.333029267,-0.124576554,1,1,0,0,0.333029267,-0.124576554,1,1,0,0,-0.333029267,0.124576553,1,1,0,0,-0.333029267,-0.124576553,1,1,0,0,-0.22797419,-0.093802415,0.075010274,1,1,0,0,0.22797419,0.093802415,-0.075010274,1,1,0,0,-0.22797419,-0.093802415,0.075010274,1,1,0,0,0.22797419,-0.093802415,0.075010274,1,0.999980983,0,1.90E-05,0.22797419,-0.093802415,-0.075010274
21,FZ277_E_resinosa,FZ277,resinosa,24,-17.79208333,-65.48758333,3352,1,1,0,0,-0.333597061,0.123730006,1,1,0,0,-0.333597061,-0.123730006,1,1,0,0,0.333597062,-0.123730006,1,1,0,0,-0.333597061,0.123730006,1,1,0,0,-0.333597061,-0.123730006,1,1,0,0,-0.227443627,-0.095289531,0.073823709,1,1,0,0,0.227443627,0.095289531,-0.073823709,1,1,0,0,-0.227443627,-0.095289531,0.073823709,1,1,0,0,0.227443627,-0.095289531,0.073823709,1,0.999927378,0,7.26E-05,0.227443627,-0.095289531,-0.073823709
22,FZ310_E_resinosa,FZ310,resinosa,24,-17.82777778,-64.78361111,3045,1,1,0,0,-0.334295135,0.125087886,1,1,0,0,-0.334295135,-0.125087886,1,1,0,0,0.334295135,-0.125087886,1,1,0,0,-0.334295134,0.125087886,1,1,0,0,-0.334295134,-0.125087886,1,1,0,0,-0.227198922,-0.093516684,0.072512843,1,1,0,0,0.227198922,0.093516684,-0.072512843,1,1,0,0,-0.227198922,-0.093516684,0.072512843,1,1,0,0,0.227198922,-0.093516684,0.072512843,1,0.999952734,0,4.73E-05,0.227198922,-0.093516684,-0.072512843
23,FZ315_E_resinosa,FZ315,resinosa,24,-17.75197222,-65.02422222,3024,1,1,0,0,-0.333018093,0.125380316,1,1,0,0,-0.333018093,-0.125380316,1,1,0,0,0.333018093,-0.125380316,1,1,0,0,-0.333018093,0.125380316,1,1,0,0,-0.333018093,-0.125380316,1,1,0,0,-0.228633957,-0.095062676,0.073514883,1,1,0,0,0.228633957,0.095062676,-0.073514883,1,1,0,0,-0.228633957,-0.095062676,0.073514883,1,1,0,0,0.228633957,-0.095062676,0.073514883,1,0.999975523,0,2.45E-05,0.228633957,-0.095062676,-0.073514883
24,JW7805_E_resinosa,JW7805,resinosa,24,-19.14611111,-65.32694444,2900,1,1,0,0,-0.333285089,0.12409744,1,1,0,0,-0.33328509,-0.124097441,1,1,0,0,0.33328509,-0.124097441,1,1,0,0,-0.333285089,0.12409744,1,1,0,0,-0.333285089,-0.12409744,1,1,0,0,-0.227271659,-0.093027137,0.075171138,1,1,0,0,0.227271659,0.093027137,-0.075171138,1,1,0,0,-0.227271659,-0.093027137,0.075171138,1,1,0,0,0.227271659,-0.093027137,0.075171138,1,0.999907437,0,9.26E-05,0.227271659,-0.093027137,-0.075171138
37,FZ208_E_piurensis,FZ208,piurensis,24,-6.784972222,-77.93680556,2818,1,1,0,0,-0.333166199,0.124295729,1,1,0,0,-0.333166199,-0.124295728,1,1,0,0,0.333166199,-0.124295728,1,1,0,0,-0.333166199,0.124295728,1,1,0,0,-0.333166199,-0.124295728,1,1,0,0,-0.228735512,-0.09496729,0.074190634,1,1,0,0,0.228735512,0.09496729,-0.074190634,1,1,0,0,-0.228735512,-0.09496729,0.074190634,1,1,0,0,0.228735512,-0.09496729,0.074190634,1,0.999976111,0,2.39E-05,0.228735512,-0.09496729,-0.074190634
38,FZ210_E_piurensis,FZ210,piurensis,24,-6.784972222,-77.93680556,2818,1,1,0,0,-0.33281663,0.124690146,1,1,0,0,-0.33281663,-0.124690146,1,1,0,0,0.33281663,-0.124690146,1,1,0,0,-0.33281663,0.124690146,1,1,0,0,-0.33281663,-0.124690146,1,1,0,0,-0.228371716,-0.094464735,0.072553048,1,1,0,0,0.228371716,0.094464735,-0.072553048,1,1,0,0,-0.228371716,-0.094464735,0.072553048,1,1,0,0,0.228371716,-0.094464735,0.072553048,1,0.999975672,0,2.43E-05,0.228371716,-0.094464735,-0.072553048
39,FZ211_E_piurensis,FZ211,piurensis,24,-6.784972222,-77.93680556,2818,1,1,0,0,-0.333187606,0.12517216,1,1,0,0,-0.333187606,-0.12517216,1,1,0,0,0.333187606,-0.12517216,1,1,0,0,-0.333187606,0.12517216,1,1,0,0,-0.333187606,-0.12517216,1,1,0,0,-0.228574605,-0.094227777,0.07279129,1,1,0,0,0.228574605,0.094227777,-0.07279129,1,1,0,0,-0.228574605,-0.094227777,0.07279129,1,1,0,0,0.228574605,-0.094227777,0.07279129,1,0.99998725,0,1.27E-05,0.228574605,-0.094227777,-0.07279129
40,FZ236_E_piurensis,FZ236,piurensis,24,-7.328138889,-78.81075,2709,1,1,0,0,-0.332861481,0.124902104,1,1,0,0,-0.332861481,-0.124902105,1,1,0,0,0.332861481,-0.124902105,1,1,0,0,-0.332861481,0.124902104,1,1,0,0,-0.332861481,-0.124902104,1,1,0,0,-0.228467396,-0.094055119,0.073935217,1,1,0,0,0.228467396,0.094055119,-0.073935217,1,1,0,0,-0.228467396,-0.094055119,0.073935217,1,1,0,0,0.228467396,-0.094055119,0.073935217,1,0.999994932,0,5.07E-06,0.228467396,-0.094055119,-0.073935217
41,FZ237_E_piurensis,FZ237,piurensis,24,-7.328138889,-78.81075,2709,1,1,0,0,-0.33280051,0.125051507,1,1,0,0,-0.33280051,-0.125051507,1,1,0,0,0.33280051,-0.125051507,1,1,0,0,-0.33280051,0.125051507,1,1,0,0,-0.332800509,-0.125051507,1,1,0,0,-0.22994443,-0.092690515,0.073940285,1,1,0,0,0.22994443,0.092690515,-0.073940285,1,1,0,0,-0.22994443,-0.092690515,0.073940285,1,1,0,0,0.22994443,-0.092690515,0.073940285,1,0.999892169,0,0.000107831,0.22994443,-0.092690515,-0.073940285
