"","numMorphGroups","BIC.Best.Model.Per.G","taxonBIC","morphoGroupsBIC","deltaBIC_naive","deltaBIC_taxon","deltaBIC_morphoGroups"
"1",1,159.396257149207,NA,NA,227.75655277616,NA,NA
"2",2,276.650921156945,NA,NA,110.501888768422,NA,NA
"3",3,341.985494801077,NA,NA,45.1673151242897,NA,NA
"4",4,348.345923218498,NA,170.839289846109,38.8068867068682,NA,216.313520079258
"5",5,387.152809925367,NA,NA,0,NA,NA
"6",6,381.569904658683,53.3852680465186,NA,5.58290526668372,333.767541878848,NA
"7",7,328.471513251934,NA,NA,58.6812966734331,NA,NA
"8",8,317.009740288782,NA,NA,70.1430696365845,NA,NA
"9",9,292.953540193651,NA,NA,94.1992697317157,NA,NA
