SampleName,taxon,Country,Elevation,Latitude,Longitude,RMaverick,mPTP,NMMs,STRUCTURE,morphoMeasured,F_MISS,chosenForBFD
LF59_E_ledifolia_Plate2,ledifolia,Brazil,1109,-27.84102778,-49.64891667,deme4,species8,1,group4,x (leaves only),0.0416926,1
LF6_E_bifida_Plate2,bifida,Brazil,906,-25.425876,-49.266829,deme5,species5,3,group2,,0.0553827,0
LF60_E_ledifolia_Plate1,ledifolia,Brazil,1109,-27.84083333,-49.64886111,deme4,species8,1,group4,x (leaves only),0.179838,0
LF61_E_bifida_Plate2,bifida,Brazil,1116,-27.89306,-50.13917,deme5,species5,3,group2,,0.0746733,0
LF63_E_farinacea_Plate1,farinacea,Brazil,1116,-27.89306,-50.13917,deme4,species7,4,group4,,0.0460485,0
LF64_E_farinacea_Plate2,farinacea,Brazil,1116,-27.89306,-50.13917,deme4,species7,4,group4,,0.0734287,0
LF72_E_megapotamica_Plate2,megapotamica,Brazil,780,-26.09997222,-49.82508333,deme5,species6,7,group2,x (leaves only),0.134412,1
LF73_E_megapotamica_Plate2,megapotamica,Brazil,780,-26.09997222,-49.82508333,deme5,species6,7,group2,,0.103298,0
LF75_E_megapotamica_Plate1,megapotamica,Brazil,761,-25.87819444,-50.37886111,deme5,species6,7,group2,x (leaves only),0.0721842,1
LF76_E_megapotamica_Plate2,megapotamica,Brazil,761,-25.87819444,-50.37886111,deme5,species6,7,group2,,0.288737,0
LF77_E_megapotamica_Plate2,megapotamica,Brazil,761,-25.87819444,-50.37886111,deme5,species6,7,group2,,0.0734287,0
LF78_E_megapotamica_Plate2,megapotamica,Brazil,761,-25.87819444,-50.37886111,deme5,species6,7,group2,,0.219042,0
LF80_E_farinacea_Plate2,farinacea,Brazil,958,-25.46583,-49.76639,deme4,species7,4,group4,,0.0535159,0
LF81_E_farinacea_Plate2,farinacea,Brazil,958,-25.46583,-49.76639,deme4,species7,4,group4,,0.0416926,0
LF82_E_laevis_Plate1,laevis,Brazil,1823,-25.24083333,-48.8305,deme4,species10,1,group4,x (leaves only),0.0360921,0
LF83_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305,deme4,species10,1,group4,x (leaves only),0.0273802,0
LF84_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305,deme4,species10,1,group4,x (leaves only),0.0815184,0
LF85_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305,deme4,species10,1,group4,x (leaves only),0.11201,0
LF86_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305,deme4,species10,1,group4,x,0.0323584,1
LF87_E_laevis_Plate3,laevis,Brazil,1823,-25.24086111,-48.8305,deme4,species10,1,group4,x,0.0354698,1
MG6302_E_angustifolia_Plate3,angustifolia,Chile,1800,-18.83305556,-69.74527778,deme1,species3,6,group1,x,0.693839,0
MN33903_E_hypoglauca_Plate3,hypoglauca,Bolivia,2200,-18.56666667,-64.05,deme3,species4,2,group3,x,0.0398258,0
PB512_E_illinita_Plate3,illinita,Chile,2650,-30.14361111,-70.04861111,deme1,species2,5,group1,x,0.760423,0
RK10198_E_angustifolia_Plate3,angustifolia,Chile,2000,-31.38333333,-69.7,deme1,species2,5,group1,,0.163037,1
RW18130_E_angustifolia_Plate3,angustifolia,Chile,2400,-29.95,-70.55,deme1,species2,5,group1,x,0.395769,1
WP152_E_farinacea_Plate2,farinacea,Brazil,1796,-22.76136111,-45.54916667,deme4,species7,4,group4,x (leaves only),0.0435594,1
WP154_E_farinacea_Plate2,farinacea,Brazil,1796,-22.76139,-45.54917,deme4,species7,4,group4,,0.056005,0
WP155_E_bifida_Plate2,bifida,Brazil,1872,-22.7675,-45.53806,deme5,species5,3,group2,,0.0802738,0
WP158_E_farinacea_Plate2,farinacea,Brazil,1872,-22.7675,-45.53833,deme4,species7,4,group4,,0.0479154,0
WP160_E_farinacea_Plate2,farinacea,Brazil,1808,-22.77083,-45.53083,deme4,species7,4,group4,,0.044804,0
WP163_E_bifida_Plate2,bifida,Brazil,1556,-22.60888889,-45.55916667,deme5,species5,3,group2,x,0.103298,0
WP164_E_laevis_Plate2,laevis,Brazil,2149,-22.48222,-45.08056,deme4,species11,1,group4,x (leaves only),0.225264,0
WP165_E_laevis_Plate2,laevis,Brazil,2173,-22.4825,-45.08056,deme4,species11,1,group4,x (leaves only),0.0728065,1
WP167_E_laevis_Plate3,laevis,Brazil,2205,-22.48416667,-45.08138889,deme4,species11,1,group4,x,0.135034,1
WP168_E_laevis_Plate2,laevis,Brazil,2216,-22.48458333,-45.08336111,deme4,species11,1,group4,x,0.235221,0
WP169_E_bifida_Plate1,bifida,Brazil,2194,-22.48483333,-45.08205556,deme5,species5,3,group2,x,0.131923,1
