,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,probass.dim2.n0.g4,probass.dim2.n0.g5,probass.dim2.n0.g6,probass.dim2.n0.g7,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,probass.dim3.n0.g4,probass.dim3.n0.g5,probass.dim3.n0.g6,probass.dim3.n0.g7,probass.dim3.n0.g8,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,probass.dim4.n0.g4,probass.dim4.n0.g5,probass.dim4.n0.g6,probass.dim4.n0.g7,probass.dim4.n0.g8,probass.dim4.n0.g9,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
45,LF16_E_bifida_Plate1,LF16_E_bifida,LF16,bifida,Brazil,914,-25.49,-49.04,3,5.64E-183,3.09E-55,0.999999509,0,4.96E-135,0,4.91E-07,-0.049330072,0.0177795,3,2.72E-169,1.57E-120,1,1.58E-238,1.54E-30,0,0,0,0.081277519,0.076982544,0.064083674,3,4.96E-117,8.02E-158,1,2.49E-219,4.83E-152,0,0,2.86E-45,0,0.056976196,-0.015830945,0.03251784,-0.03485512
46,LF18_E_bifida_Plate2,LF18_E_bifida,LF18,bifida,Brazil,914,-25.49,-49.04,3,3.05E-158,8.20E-41,0.998884468,0,8.30E-124,0,0.001115532,-0.046362697,0.010124969,3,6.08E-140,7.21E-95,1,6.14E-199,5.61E-20,0,0,0,0.0830287,0.064399185,0.05150429,3,4.77E-98,3.63E-141,1,1.34E-193,6.73E-139,0,0,4.14E-36,0,0.056842252,-0.014018417,0.02732371,-0.026732772
47,LF33_E_bifida_Plate2,LF33_E_bifida,LF33,bifida,Brazil,709,-27.67,-49.21,3,4.84E-207,1.29E-61,0.999983087,0,5.10E-143,0,1.69E-05,-0.052954551,0.017220279,3,6.00E-186,2.38E-136,1,1.34E-246,1.81E-24,0,0,0,0.094273903,0.084381541,0.054618722,3,6.89E-132,2.27E-171,1,1.46E-242,6.57E-169,0,0,2.69E-40,0,0.059161005,-0.017288282,0.037803975,-0.032728467
48,LF39_E_bifida_Plate1,LF39_E_bifida,LF39,bifida,Brazil,1194,-28.06,-49.49,3,4.27E-196,2.56E-58,0.999995472,0,1.76E-139,0,4.53E-06,-0.051364467,0.016826845,3,3.15E-175,5.15E-129,1,1.15E-233,6.72E-23,0,0,0,0.091831366,0.083379442,0.050451033,3,2.77E-128,2.02E-163,1,2.83E-230,1.78E-162,0,0,1.01E-36,0,0.058594231,-0.019735229,0.035922365,-0.029222538
49,LF46_E_bifida_Plate3,LF46_E_bifida,LF46,bifida,Brazil,1130,-28.06,-49.37,3,1.77E-201,3.00E-59,0.999980584,0,4.01E-141,0,1.94E-05,-0.052226437,0.016140374,3,1.55E-188,2.22E-132,1,5.55E-257,1.48E-28,0,0,0,0.091570171,0.075975659,0.06713427,3,1.82E-125,4.29E-177,1,1.35E-242,4.15E-174,0,0,8.06E-40,0,0.061944451,-0.012691318,0.035691597,-0.032799578
50,LF61_E_bifida_Plate2,LF61_E_bifida,LF61,bifida,Brazil,1116,-27.89,-50.14,3,8.41E-195,2.16E-56,0.9999733,0,9.96E-139,0,2.67E-05,-0.051345019,0.014935495,3,3.33E-174,7.77E-123,1,4.63E-237,2.85E-24,0,0,0,0.090832943,0.074739255,0.058510451,3,1.70E-119,1.70E-165,1,2.59E-219,1.05E-163,0,0,5.87E-36,0,0.061644185,-0.017229728,0.031269762,-0.028318245
51,LF6_E_bifida_Plate2,LF6_E_bifida,LF6,bifida,Brazil,906,-25.43,-49.27,3,1.68E-198,5.73E-60,0.999997982,0,2.11E-140,0,2.02E-06,-0.051607646,0.018080027,3,4.84E-182,2.26E-131,1,1.69E-244,4.03E-25,0,0,0,0.092372902,0.080506537,0.05738956,3,2.84E-119,3.70E-167,1,3.03E-212,7.30E-160,0,0,4.84E-46,0,0.061382359,-0.01809571,0.028423782,-0.035130668
52,WP155_E_bifida_Plate2,WP155_E_bifida,WP155,bifida,Brazil,1872,-22.77,-45.54,3,7.62E-185,4.33E-57,0.999999855,0,9.22E-136,0,1.45E-07,-0.049447355,0.019542887,3,3.53E-166,2.89E-126,1,9.58E-225,6.22E-25,0,0,0,0.085162799,0.088528756,0.047018506,3,1.16E-120,2.30E-155,1,2.10E-195,1.50E-149,0,0,4.53E-43,0,0.059471913,-0.02531118,0.026723263,-0.031447624
53,WP163_E_bifida_Plate2,WP163_E_bifida,WP163,bifida,Brazil,1556,-22.60888889,-45.55916667,3,5.12E-173,8.44E-50,0.999995395,0,5.97E-131,0,4.60E-06,-0.048123812,0.014806612,3,4.97E-153,1.81E-111,1,4.62E-214,7.28E-25,0,0,0,0.081069176,0.078289382,0.051165654,3,5.28E-114,1.63E-149,1,1.79E-197,6.87E-147,0,0,3.06E-37,0,0.058390198,-0.021743682,0.02819922,-0.027473256
54,WP169_E_bifida_Plate1,WP169_E_bifida,WP169,bifida,Brazil,2194,-22.48483333,-45.08205556,3,1.04E-186,2.69E-58,0.99999991,0,2.09E-136,0,9.02E-08,-0.049639439,0.020478576,3,5.68E-175,9.52E-129,1,9.38E-245,7.78E-33,0,0,0,0.080030849,0.084656787,0.062944093,3,4.17E-116,5.84E-160,1,1.42E-208,1.71E-149,0,0,4.55E-53,0,0.057890196,-0.017436006,0.028496867,-0.039819737
55,LF42_E_petrophila_Plate1,LF42_E_petrophila,LF42,petrophila,Brazil,1130,-28.05591667,-49.36675,1,1,1.72E-17,4.38E-187,2.00E-116,1.89E-37,0,8.81E-82,0.003261425,0.000786892,1,1,2.80E-29,1.97E-175,5.19E-31,1.27E-168,4.12E-186,7.35E-205,3.57E-138,-0.007140162,-0.002878217,-0.015152404,2,2.36E-59,0.999999943,6.60E-160,2.81E-74,5.75E-08,0,1.03E-192,3.65E-176,1.53E-172,-0.007848881,-0.006318613,-0.001847086,0.007705733
56,LF44_E_petrophila_Plate4,LF44_E_petrophila,LF44,petrophila,Brazil,1128,-28.05583333,-49.36666667,1,1,1.79E-20,6.45E-206,3.69E-128,3.26E-34,0,2.99E-89,0.006004998,0.000856593,1,1,1.44E-33,1.75E-184,3.04E-34,1.70E-181,3.91E-174,1.91E-188,5.15E-126,-0.015540284,-0.000689417,-0.013938557,2,8.57E-68,0.999999996,1.11E-169,4.80E-85,4.39E-09,0,2.71E-182,2.26E-185,9.18E-158,-0.011689079,-0.006373899,0.000695245,0.008294438
57,LF45_E_petrophila_Plate1,LF45_E_petrophila,LF45,petrophila,Brazil,1131,-28.05591667,-49.36669444,1,1,6.96E-22,1.65E-207,1.95E-121,3.03E-34,0,1.54E-90,0.006359472,0.002202546,1,1,4.54E-37,4.38E-188,1.81E-32,9.20E-185,1.82E-172,9.22E-187,9.98E-125,-0.017034091,0.002786838,-0.017925192,2,1.00E-72,0.999999999,4.74E-175,1.84E-81,5.52E-10,0,1.74E-180,1.14E-188,2.35E-158,-0.012176203,-0.009418789,-0.000545929,0.010533659
58,LF51_E_ledifolia_Plate2,LF51_E_ledifolia,LF51,ledifolia,Brazil,1108,-27.84102778,-49.64888889,1,1,5.36E-23,1.19E-185,5.64E-77,8.26E-39,0,2.83E-84,0.003692949,0.007801601,1,1,3.70E-42,2.59E-174,3.27E-24,1.21E-167,1.35E-196,1.49E-206,3.88E-146,-0.009348391,0.018398505,-0.030572629,5,3.02E-79,6.44E-13,9.88E-155,3.07E-74,1,0,2.73E-209,1.35E-210,3.74E-175,-0.01076385,-0.015203188,-0.003197482,-0.020658389
59,LF52_E_ledifolia_Plate2,LF52_E_ledifolia,LF52,ledifolia,Brazil,1110,-27.84097222,-49.64888889,1,1,9.07E-25,1.30E-193,1.91E-78,1.84E-37,0,1.15E-87,0.004916492,0.008528634,1,1,2.99E-43,6.88E-185,8.81E-22,2.07E-175,6.68E-187,2.13E-205,7.02E-140,-0.009848407,0.013631589,-0.033575761,5,4.36E-80,2.89E-12,1.87E-162,2.31E-64,1,0,4.52E-203,1.22E-215,6.49E-176,-0.010727013,-0.017103709,-0.006917709,-0.017542155
60,LF53_E_ledifolia_Plate2,LF53_E_ledifolia,LF53,ledifolia,Brazil,1109,-27.84102778,-49.64894444,1,1,2.99E-23,1.38E-183,1.16E-71,3.97E-39,0,1.08E-83,0.003469428,0.008645319,1,1,4.74E-39,3.65E-161,3.16E-26,2.74E-156,4.69E-209,4.05E-212,2.56E-155,-0.006395432,0.021280541,-0.026872979,5,4.37E-78,1.23E-08,1.78E-148,2.73E-71,0.999999988,0,3.85E-214,4.47E-196,1.47E-180,-0.009194104,-0.017853876,-0.001830294,-0.014826605
61,LF54_E_ledifolia_Plate2,LF54_E_ledifolia,LF54,ledifolia,Brazil,1109,-27.84102778,-49.64897222,1,1,1.98E-22,4.25E-186,1.24E-81,1.03E-38,0,3.66E-84,0.003678304,0.006922566,1,1,9.25E-41,8.52E-188,3.15E-21,2.39E-176,2.08E-183,7.45E-208,2.68E-138,-0.008048583,0.007680745,-0.032561548,5,6.97E-75,1.04E-13,1.03E-160,3.63E-66,1,0,3.43E-203,1.89E-216,4.71E-176,-0.010204834,-0.013389731,-0.007169444,-0.019835794
62,LF55_E_ledifolia_Plate2,LF55_E_ledifolia,LF55,ledifolia,Brazil,1109,-27.84102778,-49.64888889,1,1,7.30E-25,1.74E-181,1.01E-56,3.48E-39,0,1.46E-83,0.003436237,0.011660456,1,1,1.32E-46,1.00E-161,3.10E-23,1.13E-157,5.83E-213,2.78E-210,9.99E-158,-0.008977621,0.033164506,-0.034782393,5,3.10E-84,3.11E-17,1.74E-150,2.54E-67,1,0,5.57E-223,3.69E-214,6.73E-189,-0.00906059,-0.020065084,-0.005285991,-0.026000465
63,LF56_E_ledifolia_Plate5,LF56_E_ledifolia,LF56,ledifolia,Brazil,1108,-27.84083333,-49.64886111,1,1,4.42E-18,8.12E-174,5.64E-90,3.73E-40,0,6.57E-78,0.00163726,0.00412686,1,1,3.68E-31,6.19E-170,1.71E-24,6.94E-159,1.80E-198,4.45E-220,1.16E-150,-0.000622768,0.002693597,-0.02365392,5,9.76E-61,3.04E-05,6.59E-150,3.99E-60,0.999969584,0,4.56E-205,3.47E-188,2.89E-183,-0.006401647,-0.011107833,-0.00610071,-0.007831667
64,LF57_E_ledifolia_Plate2,LF57_E_ledifolia,LF57,ledifolia,Brazil,1108,-27.84083333,-49.64886111,1,1,2.09E-19,1.48E-178,3.35E-89,1.29E-39,0,3.56E-80,0.002378522,0.004693328,1,1,2.26E-33,2.37E-171,1.04E-24,2.31E-161,3.02E-197,1.76E-216,5.87E-149,-0.002771688,0.005566762,-0.024727878,5,1.66E-65,1.15E-07,1.20E-150,3.13E-66,0.999999885,0,2.92E-206,1.28E-194,7.50E-180,-0.007809562,-0.011431455,-0.004712821,-0.012182587
65,LF59_E_ledifolia_Plate2,LF59_E_ledifolia,LF59,ledifolia,Brazil,1109,-27.84102778,-49.64891667,1,1,3.27E-19,1.62E-181,1.49E-95,4.80E-39,0,4.98E-81,0.002730224,0.003829659,1,1,8.40E-34,3.80E-182,8.18E-24,2.30E-170,8.21E-186,1.58E-212,1.04E-140,-0.004419777,-0.000239768,-0.025628311,5,2.45E-64,2.71E-09,4.16E-162,6.45E-62,0.999999997,0,3.13E-194,4.57E-208,1.83E-173,-0.009117922,-0.009053878,-0.008388536,-0.012703722
66,LF60_E_ledifolia_Plate1,LF60_E_ledifolia,LF60,ledifolia,Brazil,1109,-27.84083333,-49.64886111,1,1,2.98E-21,1.10E-190,1.96E-97,1.00E-37,0,4.75E-85,0.00412,0.004447641,1,1,2.63E-40,1.51E-191,1.07E-23,1.22E-181,6.88E-177,5.81E-201,4.19E-132,-0.011057433,0.005010543,-0.029446679,5,3.23E-73,1.25E-14,5.39E-169,2.11E-64,1,0,2.09E-193,8.85E-226,5.78E-170,-0.011312766,-0.01084135,-0.009452255,-0.020050329
67,LF72_E_megapotamica_Plate2,LF72_E_megapotamica,LF72,megapotamica,Brazil,780,-26.09997222,-49.82508333,7,1.20E-212,2.56E-47,4.66E-13,0,1.16E-139,0,1,-0.054012276,-0.004903263,5,5.97E-152,3.69E-98,1.77E-24,4.07E-168,1,0,0,0,0.131364155,0.037422993,0.010131443,8,5.15E-126,2.93E-158,1.69E-41,4.50E-244,3.25E-195,0,0,1,0,0.061334292,-0.012167732,0.037274308,0.027484027
68,LF73_E_megapotamica_Plate2,LF73_E_megapotamica,LF73,megapotamica,Brazil,780,-26.09997222,-49.82508333,7,4.62E-193,8.56E-43,6.57E-09,0,1.70E-133,0,0.999999993,-0.051466972,-0.002241908,5,1.24E-145,1.27E-91,7.45E-17,2.00E-170,1,0,0,0,0.122861457,0.038937232,0.019708993,8,5.06E-114,1.03E-148,4.85E-33,4.05E-220,1.54E-180,0,0,1,0,0.06165896,-0.013817471,0.032349273,0.022371047
69,LF75_E_megapotamica_Plate1,LF75_E_megapotamica,LF75,megapotamica,Brazil,761,-25.87819444,-50.37886111,7,1.77E-231,2.20E-53,1.52E-14,0,3.74E-146,0,1,-0.056564973,-0.004622139,5,2.45E-160,1.25E-106,5.43E-26,7.32E-174,1,0,0,0,0.135475827,0.041310247,0.006952411,8,2.11E-135,1.10E-168,1.74E-42,1.12E-260,1.25E-206,0,0,1,0,0.06259153,-0.011938366,0.040475365,0.027157227
70,LF76_E_megapotamica_Plate2,LF76_E_megapotamica,LF76,megapotamica,Brazil,761,-25.87819444,-50.37886111,7,1.76E-262,7.91E-65,2.18E-15,0,6.90E-157,0,1,-0.060764875,-0.001543843,5,1.34E-190,3.63E-125,1.47E-23,6.05E-209,1,0,0,0,0.145961851,0.041781974,0.018398586,8,6.14E-141,1.08E-190,3.56E-37,1.55E-266,7.45E-225,0,0,1,0,0.070237388,-0.011935425,0.038070885,0.022156758
71,LF77_E_megapotamica_Plate2,LF77_E_megapotamica,LF77,megapotamica,Brazil,761,-25.87819444,-50.37886111,7,8.13E-290,7.29E-69,1.14E-26,0,6.20E-163,0,1,-0.063787092,-0.008145194,5,2.17E-189,3.20E-129,1.92E-41,5.05E-187,1,0,0,0,0.159546521,0.036581842,-0.006996639,8,2.13E-163,2.93E-194,2.53E-57,4.51E-279,2.71E-239,0,0,1,0,0.068344117,-0.01903159,0.040949206,0.037715648
72,LF78_E_megapotamica_Plate2,LF78_E_megapotamica,LF78,megapotamica,Brazil,761,-25.87819444,-50.37886111,7,8.19E-218,1.60E-50,6.74E-11,0,3.22E-142,0,1,-0.054865392,-0.002410201,5,2.59E-162,7.30E-104,4.30E-20,4.64E-184,1,0,0,0,0.132098102,0.039124741,0.018653708,8,1.62E-126,1.10E-164,5.67E-34,1.23E-246,9.76E-198,0,0,1,0,0.063561665,-0.012076234,0.037418178,0.021273447
73,LF82_E_laevis_Plate1,LF82_E_laevis,LF82,laevis,Brazil,1823,-25.24083333,-48.8305,1,1,9.82E-26,1.63E-201,2.93E-85,5.26E-36,0,1.26E-90,0.006038956,0.008247107,1,1,7.30E-42,6.15E-166,4.77E-31,4.49E-166,3.30E-200,6.05E-196,4.71E-145,-0.014461225,0.023751856,-0.023142905,2,3.27E-83,1,2.08E-157,1.05E-77,1.73E-11,0,5.63E-211,4.96E-169,3.02E-183,-0.008495149,-0.021023938,0.002465456,0.011522693
74,LF83_E_laevis_Plate2,LF83_E_laevis,LF83,laevis,Brazil,1823,-25.24083333,-48.8305,1,1,1.71E-23,1.29E-202,1.90E-102,1.15E-35,0,6.24E-90,0.005903772,0.004993682,1,1,1.82E-37,4.75E-173,1.45E-32,1.12E-171,1.22E-189,9.70E-194,1.62E-137,-0.014281604,0.012388479,-0.018545754,2,1.46E-74,0.999999447,7.27E-162,2.60E-76,5.53E-07,0,9.40E-196,1.24E-181,8.48E-170,-0.010163256,-0.014432848,5.13E-05,0.005728671
75,LF84_E_laevis_Plate2,LF84_E_laevis,LF84,laevis,Brazil,1823,-25.24083333,-48.8305,1,1,2.39E-23,1.26E-192,1.61E-86,1.27E-37,0,1.02E-86,0.004612047,0.006754777,1,1,4.69E-37,4.37E-157,5.66E-32,8.66E-157,2.97E-208,1.36E-203,4.99E-152,-0.010027095,0.021108321,-0.01945884,2,3.62E-77,0.999999992,2.86E-148,1.43E-77,8.24E-09,0,6.09E-216,3.51E-165,9.55E-186,-0.007293865,-0.018919357,0.002986688,0.006955156
76,LF85_E_laevis_Plate2,LF85_E_laevis,LF85,laevis,Brazil,1823,-25.24083333,-48.8305,1,1,2.08E-24,3.11E-198,8.18E-89,1.25E-36,0,5.30E-89,0.005453235,0.007043274,1,1,1.57E-39,1.24E-161,1.16E-32,1.39E-162,3.99E-203,4.46E-197,4.98E-147,-0.0135135,0.022624321,-0.020075201,2,1.53E-79,1,1.36E-151,3.62E-75,7.65E-11,0,1.74E-216,4.09E-164,4.97E-189,-0.006936846,-0.020685428,0.002202857,0.010556589
77,LF86_E_laevis_Plate2,LF86_E_laevis,LF86,laevis,Brazil,1823,-25.24083333,-48.8305,1,1,1.66E-24,5.32E-208,1.27E-104,1.23E-34,0,4.39E-92,0.006717004,0.005336346,1,1,1.81E-38,1.05E-170,1.05E-34,6.08E-172,9.66E-191,4.29E-189,7.84E-137,-0.01674502,0.015724388,-0.016884806,2,6.96E-79,0.999999994,4.83E-162,7.41E-85,6.22E-09,0,3.67E-197,2.93E-179,6.02E-167,-0.011169976,-0.014850168,0.003080295,0.007150813
78,LF87_E_laevis_Plate3,LF87_E_laevis,LF87,laevis,Brazil,1823,-25.24086111,-48.8305,1,1,2.55E-21,3.82E-189,2.30E-94,4.92E-38,0,1.35E-84,0.003931762,0.004839521,1,1,1.71E-34,6.51E-163,1.65E-31,2.31E-160,2.47E-201,1.88E-204,7.84E-148,-0.008876294,0.013315951,-0.018210692,2,4.25E-71,1,9.56E-153,1.37E-74,2.48E-10,0,2.01E-210,1.80E-165,7.01E-186,-0.006575966,-0.015357231,0.000870775,0.010211219
79,WP164_E_laevis_Plate2,WP164_E_laevis,WP164,laevis,Brazil,2149,-22.48,-45.08,1,1,1.69E-16,2.86E-185,6.62E-120,1.76E-37,0,1.29E-80,0.002930318,5.59E-05,1,1,1.05E-25,1.31E-145,2.48E-43,2.71E-151,1.25E-208,1.63E-196,3.29E-149,-0.011031038,0.010440191,-0.000367815,2,1.16E-63,1,2.78E-153,1.75E-86,1.71E-17,0,3.22E-211,3.67E-152,7.14E-188,-0.005212045,-0.008381561,0.003872315,0.019095806
80,WP165_E_laevis_Plate2,WP165_E_laevis,WP165,laevis,Brazil,2173,-22.48,-45.08,1,1,5.95E-26,6.92E-224,3.25E-121,4.46E-31,0,1.66E-97,0.008962486,0.004668833,1,1,1.84E-38,2.03E-165,9.88E-42,2.03E-173,9.66E-191,3.51E-176,7.95E-133,-0.022915651,0.019751773,-0.009322804,2,9.80E-81,1,4.03E-173,8.52E-85,3.56E-18,0,2.24E-196,3.94E-171,7.90E-175,-0.009814813,-0.015106412,0.002229751,0.021680294
81,WP167_E_laevis_Plate3,WP167_E_laevis,WP167,laevis,Brazil,2205,-22.48416667,-45.08138889,1,1,3.47E-18,2.35E-192,1.11E-120,1.48E-36,0,8.13E-84,0.004010398,0.00059845,1,1,2.32E-28,1.32E-162,6.17E-37,5.24E-162,2.02E-195,3.29E-199,4.27E-142,-0.00991858,0.003964315,-0.008486594,2,2.46E-63,1,2.67E-158,1.67E-76,4.49E-16,0,1.67E-206,1.29E-158,9.36E-189,-0.00507514,-0.009784525,0.000105329,0.019035803
82,WP168_E_laevis_Plate2,WP168_E_laevis,WP168,laevis,Brazil,2216,-22.48458333,-45.08336111,1,1,1.81E-17,1.14E-197,2.85E-134,4.36E-35,0,5.76E-85,0.004631164,-0.001052338,1,1,2.36E-28,7.23E-178,4.49E-37,1.11E-175,6.88E-178,3.58E-191,8.75E-129,-0.013248138,-0.005094908,-0.007837943,2,4.19E-61,1,1.42E-170,8.37E-80,9.80E-15,0,3.70E-187,2.09E-173,3.34E-171,-0.008272,-0.004557282,-0.001249158,0.017679842
