,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,probass.dim2.n0.g4,probass.dim2.n0.g5,probass.dim2.n0.g6,probass.dim2.n0.g7,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,probass.dim3.n0.g4,probass.dim3.n0.g5,probass.dim3.n0.g6,probass.dim3.n0.g7,probass.dim3.n0.g8,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,probass.dim4.n0.g4,probass.dim4.n0.g5,probass.dim4.n0.g6,probass.dim4.n0.g7,probass.dim4.n0.g8,probass.dim4.n0.g9,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
12,FZ308_E_hypoglauca_Plate3,FZ308_E_hypoglauca,FZ308,hypoglauca,Bolivia,2928,-17.83686111,-64.72677778,2,3.40E-42,1,3.20E-113,0,1.28E-61,0,1.14E-41,-0.015605854,-0.020877445,2,5.02E-33,1,3.10E-111,6.48E-76,5.67E-98,9.36E-302,0,2.72E-244,0.044816187,-0.04545777,0.032954966,1,1,1.71E-62,4.00E-109,1.63E-108,3.82E-70,0,0,7.68E-115,0,0.027826881,0.03462996,-0.005359085,0.005784102
13,FZU10330_E_hypoglauca_Plate1,FZU10330_E_hypoglauca,FZU10330,hypoglauca,Argentina,2810,-23.61,-65.91,2,1.16E-41,1,6.49E-138,0,1.25E-56,0,1.46E-49,-0.012362929,-0.025542611,2,2.38E-32,1,2.60E-142,4.82E-78,2.79E-128,1.27E-262,2.19E-300,8.75E-213,0.034769246,-0.062828085,0.036647838,1,1,3.15E-68,9.29E-136,3.86E-112,1.36E-70,0,0,8.86E-151,0,0.022620127,0.042940564,-0.010304161,0.000326727
14,FZU10426D_E_hypoglauca_Plate3,FZU10426D_E_hypoglauca,FZU10426D,hypoglauca,Bolivia,3033,-21.48,-64.87,2,1.13E-49,1,1.06E-114,0,1.22E-63,0,1.05E-40,-0.016782424,-0.023969716,2,2.28E-36,1,6.77E-125,1.37E-73,6.01E-104,2.61E-297,0,5.58E-246,0.050988383,-0.057881475,0.029107496,1,1,3.31E-77,6.44E-119,2.22E-100,5.93E-78,0,0,8.04E-135,0,0.030957831,0.036986922,-0.013239669,-0.000818699
15,FZU10434A_E_hypoglauca_Plate3,FZU10434A_E_hypoglauca,FZU10434A,hypoglauca,Bolivia,3398,-21.47,-64.89,2,1.07E-25,1,1.83E-144,5.91E-293,1.12E-49,0,2.55E-54,-0.008553583,-0.020156808,2,7.48E-22,1,4.92E-127,1.40E-72,7.63E-123,5.24E-256,9.39E-270,3.15E-199,0.022822492,-0.041840397,0.035585088,1,1,1.49E-41,5.84E-117,2.04E-107,2.25E-45,0,2.57E-287,9.09E-134,5.12E-275,0.015987361,0.034546229,-0.002219722,-0.000976337
16,JW9552_E_hypoglauca_Plate3,JW9552_E_hypoglauca,JW9552,hypoglauca,Bolivia,3300,-21.47,-64.89,2,6.81E-78,1,8.01E-113,0,5.26E-71,0,7.32E-34,-0.022032566,-0.032548265,2,2.31E-50,1,2.28E-129,3.89E-96,1.73E-110,0,0,3.74E-259,0.054430683,-0.074476723,0.046795512,1,1,7.71E-98,1.28E-129,1.62E-131,7.92E-100,0,0,6.94E-143,0,0.033296727,0.05031617,-0.010912371,-0.001009186
17,MN33903_E_hypoglauca_Plate3,MN33903_E_hypoglauca,MN33903,hypoglauca,Bolivia,2200,-18.56666667,-64.05,2,1.54E-33,1,5.78E-136,0,2.41E-54,0,2.00E-50,-0.011115695,-0.021969786,2,5.94E-28,1,2.82E-127,5.71E-73,6.94E-116,4.29E-272,4.09E-298,6.18E-218,0.034456192,-0.049262796,0.032861873,1,1,3.20E-59,6.61E-121,1.88E-99,4.84E-60,0,0,1.27E-139,0,0.022991332,0.035333892,-0.009532964,-0.002101307
18,FZ322_E_angustifolia_Plate3,FZ322_E_angustifolia,FZ322,angustifolia,Peru,2594,-16.55633333,-71.44552778,6,0,0,0,0,9.80E-17,1,0,0.088908135,0.015273465,7,1.66E-202,0,0,0,0,1.25E-108,1,7.36E-49,-0.21295624,0.049229052,0.033683075,6,0,0,0,0,0,1,5.16E-241,0,5.01E-110,-0.114361383,-0.010136311,0.05380731,-0.001548008
19,FZ323_E_angustifolia_Plate3,FZ323_E_angustifolia,FZ323,angustifolia,Peru,2579,-16.55994444,-71.44852778,6,0,0,0,0,1.29E-17,1,0,0.088700021,0.018158685,7,3.27E-200,0,0,0,0,4.89E-115,1,7.79E-53,-0.212636949,0.05713312,0.031094704,6,0,0,0,0,0,1,4.44E-256,0,4.11E-120,-0.113920239,-0.013831654,0.05642982,-0.00221176
20,FZ324_E_angustifolia_Plate1,FZ324_E_angustifolia,FZ324,angustifolia,Peru,2585,-16.55994444,-71.44852778,6,0,0,0,0,1.01E-17,1,0,0.08945175,0.017056809,7,2.80E-199,0,0,0,0,1.02E-124,1,4.82E-58,-0.210550918,0.053136137,0.045127045,6,0,0,0,0,0,1,4.83E-261,0,1.18E-121,-0.112119543,-0.006549247,0.059408277,-0.003056942
21,FZ326_E_angustifolia_Plate3,FZ326_E_angustifolia,FZ326,angustifolia,Peru,2590,-16.5615,-71.44619444,6,0,0,0,0,3.29E-18,1,0,0.090768427,0.017294202,7,1.63E-206,0,0,0,0,9.38E-118,1,8.58E-55,-0.215050634,0.054019701,0.037028072,6,0,0,0,0,0,1,2.52E-263,0,3.87E-126,-0.113855187,-0.011457269,0.059215777,0.003221791
