SpecimenID,HerbariumSheetID,Taxon,MorphogroupID,CladeID,Latitude,Longitude,Elevation,Floral and Leaf,Leaf only,no measurements,libraryNumber,sampledForBFD,Phenogroup,Genogroup
FZ269,MOUNM_FZ269,paniculata,19,III,-16.31508333,-67.81222222,2950,x,,,Plate2,0,1,group5
FZ270,MOUNM_FZ270,paniculata,19,III,-16.28611111,-67.80669444,2790,x,,,,,1,
FZ272,MOUNM_FZ272,paniculata,19,III,-16.27638889,-67.79222222,2432,x,,,Plate2,0,1,group5
GC1765,MO5863492,paniculata,19,III,-12.86666667,-72.53333333,2150,x,,,,,1,
HV4434,MOUNM_HV4434,paniculata,19,III,0.816666667,-78.13333333,1860,x,,,,,1,
Hv8197,MO3507020,paniculata,19,III,8.25,-71.55,2250,x,,,,,1,
JP2912,MOUNM_JP2912,paniculata,19,III,-5.0925,-78.83944444,2002,x,,,,,1,
JS10701,MO3218581,paniculata,19,III,-16.3,-67.81666667,3000,x,,,,,1,
JS18731,MO4265187,paniculata,19,III,-16.11666667,-68.06666667,2200,x,,,,,1,
JT2968,NY_JT3968,paniculata,19,III,11.11361111,-74.03416667,2300,x,,,,,1,
JW11465,K175,paniculata,19,III,-17.79277778,-64.71555556,2200,x,,,Plate2,0,1,group5
KV5689,MOUN_LV5689,paniculata,19,III,-12.46666667,-72,2831,x,,,,,1,
KY4092,F1980640,paniculata,19,III,-7,-77,2300,x,,,,,1,
LU4163,NY_LU4163,paniculata,19,III,5.833333333,-75.53333333,2400,x,,,,,1,
MC1182,MO3587456,paniculata,19,III,9.416666667,-70.33333333,2100,x,,,,,1,
MD2620,MO3045849,paniculata,19,III,-9.55,-75.98333333,1950,x,,,,,1,
MW2000_891,F2229337,paniculata,19,III,-6.210277778,-77.71583333,2200,x,,,,,1,
PA6612,US3295163,paniculata,19,III,-17.21666667,-65.8,2600,x,,,,,1,
RR3379,MOUNM_RR3379,paniculata,19,III,-10.62361111,-75.29527778,2300,x,,,,,1,
RV25391,MO5863483,paniculata,19,III,-6.377222222,-77.50777778,1500,x,,,,,1,
AG23305,MO27344002,resinosa,24,III,-14.47416667,-73.23972222,3220,x,,,,,2,
AS10370,MO2977758,piurensis,24,III,-7.355277778,-78.90083333,3300,x,,,,,2,
AS3821,F1684348,piurensis,24,III,-7.365833333,-79.01027778,3230,x,,,,,2,
CD5089,MO2597943,resinosa,24,III,-17.68333333,-65.1,2890,x,,,,,2,
CO527,US1952577,resinosa,24,III,-11.72444444,-75.10694444,3200,x,,,,,2,
CP1050,US1776355,resinosa,24,III,-2.861388889,-78.93555556,2600,x,,,,,2,
DS10236,MO3314959,resinosa,24,III,-9.633333333,-77.2,3450,x,,,,,2,
DS10599,MO3314954,resinosa,24,III,-9.016666667,-77.05,3600,x,,,,,2,
DS10955,MO3303829,resinosa,24,III,-9.45,-77.85,2879,x,,,,,2,
DS3356,MO3413756,resinosa,24,III,-8.333333333,-78.08333333,3400,x,,,,,2,
EB572,MO6030395,resinosa,24,III,-21.48277778,-65.03277778,2800,x,,,,,2,
EBB6926,UC683109,resinosa,24,III,-13.38333333,-73.88333333,3300,x,,,,,2,
FP14405,US1340811,resinosa,24,III,-11.43361111,-76.60805556,3200,x,,,,,2,
FW5273,MO1752070,resinosa,24,III,-9.805277778,-75.87638889,2200,x,,,,,2,
FZ163,MOUNM_FZ163,resinosa,24,III,-13.50395833,-71.98066667,3265,x,,,,,2,
FZ165,MOUNM_FZ165,resinosa,24,III,-13.50130556,-71.98333333,3698,x,,,,,2,
FZ167,MOUNM_FZ167,resinosa,24,III,-13.54269444,-71.94147222,3317,x,,,Plate2,0,2,group1
FZ174,MOUNM_FZ174,resinosa,24,III,-14.08213889,-71.36888889,3553,x,,,Plate2,1,2,group1
FZ180,MOUNM_FZ180,resinosa,24,III,-13.16013889,-72.28025,3694,x,,,Plate2,0,2,group1
FZ182,MOUNM_FZ182,resinosa,24,III,-13.17722222,-72.28988889,3566,x,,,Plate1,0,2,group1
FZ183,MOUNM_FZ183,resinosa,24,III,-13.17722222,-72.28988889,3566,x,,,,,2,
FZ191,MOUNM_FZ191,resinosa,24,III,-13.29733333,-71.59694444,2942,x,,,,,2,
FZ205,MOUNM_FZ205,resinosa,24,III,-13.21311111,-71.63272222,3383,x,,,Plate2,0,2,group1
FZ211,MOUNM_FZ211,piurensis,24,III,-6.784972222,-77.93680556,2818,x,,,Plate2,0,2,group1
FZ236,MOUNM_FZ236,piurensis,24,III,-7.328138889,-78.81075,2709,x,,,Plate2,0,2,group1
FZ239,MOUNM_FZ239,piurensis,24,III,-7.328138889,-78.81075,2709,x,,,,,2,
FZ240,MOUNM_FZ240,piurensis,24,III,-7.328138889,-78.81075,2709,x,,,Plate2,1,2,group1
FZ287,MOUNM_FZ287,resinosa,24,III,-17.84027778,-65.45,2800,x,,,,,2,
FZ310,MOUNM_FZ310,resinosa,24,III,-17.82777778,-64.78361111,3045,x,,,Plate1,1,2,group2
HS10647,F1076429,resinosa,24,III,-13.6,-72.85,3000,x,,,,,2,
JS15148,MO3413772,resinosa,24,III,-16.56666667,-67.75,3500,x,,,,,2,
JS15923,MO3684550,resinosa,24,III,-17.66666667,-65.15,3200,x,,,,,2,
JW7805,K145,resinosa,24,III,-19.14611111,-65.32694444,2900,x,,,Plate2,1,2,group2
MC4122,US1986034,resinosa,24,III,-18.98277778,-65.36666667,3200,x,,,,,2,
ML35050,MO4052295,resinosa,24,III,-16.91666667,-67.16666667,3000,x,,,,,2,
ML37126,MO5689929,resinosa,24,III,-16.96666667,-67.21666667,3350,x,,,,,2,
MM2032,MO5689934,resinosa,24,III,-17.95,-65.31666667,2250,x,,,,,2,
NA763,MOUNM_NA763,resinosa,24,III,-17.57611111,-66.27194444,2860,x,,,,,2,
NR751,MO5689921,resinosa,24,III,-17.31083333,-66.29861111,3020,x,,,,,2,
SL123,MO5788375,piurensis,24,III,-7.998055556,-78.64666667,2500,x,,,,,2,
AC13359,F1993095,paniculata,19,III,7.533333333,-72.45,2250,x,,,,,3,
AG48084,MO3200527,paniculata,19,III,3.533333333,-76.6,2250,x,,,,,3,
AJ3357,MO5869029,reticulata,25,III,-17.81194444,-64.62722222,2400,x,,,,,3,
AL360,MOUNM_AL360,reticulata,25,III,-19.81444444,-63.71944444,1540,x,,,Plate3,1,3,group6
AS14179,MO5708550,paniculata,19,III,-7.066666667,-77.91666667,2200,x,,,,,3,
BH18666,F2141538,paniculata,19,III,9.483333333,-83.68333333,2000,x,,,,,3,
BR7415,US3126523,paniculata,19,III,10.21666667,-73,2470,x,,,,,3,
CD9839,MO5863490,paniculata,19,III,-6.516666667,-79.15,2200,x,,,,,3,
DB56,MO3211954,paniculata,19,III,10.35,-67.04166667,1168,x,,,,,3,
EK17141,MO993735,paniculata,19,III,7.369444444,-72.90944444,2500,x,,,,,3,
EP5779,F1234495,paniculata,19,III,2.1875,-76.70222222,1800,x,,,,,3,
FZ245,MOUNM_FZ245,paniculata,19,III,-5.368166667,-79.57561111,2045,x,,,Plate1,1,3,group7
FZ246,MOUNM_FZ246,paniculata,19,III,-5.368166667,-79.57583333,2045,x,,,,,3,
FZ247,MOUNM_FZ247,paniculata,19,III,-5.370194444,-79.57591667,2068,x,,,Plate1,1,3,group7
FZ248,MOUNM_FZ248,paniculata,19,III,-5.370194444,-79.57611111,2068,x,,,,,3,
FZ254,MOUNM_FZ254,paniculata,19,III,-5.376111111,-79.56827778,2485,x,,,,,3,
FZ271,MOUNM_FZ271,paniculata,19,III,-16.27555556,-67.79180556,2432,x,,,Plate2,1,3,group5
FZ299,MOUNM_FZ299,reticulata,25,III,-18.18077778,-63.84244444,1858,x,,,,,3,
GD19829,MO2992547,paniculata,19,III,10.1,-64.1,2300,x,,,,,3,
GH2022,MO4227451,reticulata,25,III,-18.18833333,-63.73333333,1300,x,,,,,3,
HG12283,US1933255,paniculata,19,III,4.879166667,-75.13277778,2500,x,,,,,3,
HS1748,MO2186797,paniculata,19,III,11.1,-74.03333333,2000,x,,,,,3,
Hv_8023,MO3507018,paniculata,19,III,9.666666667,-70.41666667,1750,x,,,,,3,
IS4929,F2146731,paniculata,19,III,-6.566666667,-78.8,2150,x,,,,,3,
IV1724,MY_IV1724,reticulata,25,III,-18.51666667,-64.09666667,2050,x,,,,,3,
IV745,MO4403723,reticulata,25,III,-18.11666667,-63.61666667,1450,x,,,,,3,
JC28192,US2585802,paniculata,19,III,9.316666667,-70.33333333,2300,x,,,,,3,
JS127754,MO3213772,paniculata,19,III,10.45,-67.35,2100,x,,,,,3,
JS8203,MO982829,reticulata,25,III,-18.16694444,-63.66138889,1500,x,,,,,3,
LH18441,MO5695947,paniculata,19,III,-0.366666667,-78.8,1800,x,,,,,3,
MS4032,NY_MS4032,reticulata,25,III,-17.11666667,-63.61666667,1300,x,,,,,3,
MS4946,MO4852036,reticulata,25,III,-18.08333333,-63.91666667,1880,x,,,,,3,
PJ169,MO4989671,paniculata,19,III,-4.056666667,-79.89472222,2700,x,,,,,3,
RB19296,US3368790,reticulata,25,III,-18.75,-63.83333333,2100,x,,,,,3,
RK541,MO4593629,paniculata,19,III,8.865,-70.69444444,1650,x,,,,,3,
SB9811,L424,reticulata,25,III,-19.81138889,-63.71972222,1600,x,,,,,3,
SY359,US1952530,paniculata,19,III,2.341944444,-76.4925,2500,x,,,,,3,
TC21834,MO2434767,paniculata,19,III,10.53333333,-66.87944444,2000,x,,,,,3,
VZ2355,MO3791653,paniculata,19,III,-0.216666667,-78.8,2100,x,,,,,3,
AN394,ANDES_1,paniculata,19,III,4.898055556,-74.12194444,2700,x,,,,,4,
EK17990,NY_EK17990,discolor,19,III,7.328611111,-72.91111111,2500,x,,,,,4,
EK18727,US1354092,discolor,19,III,7.369722222,-72.90916667,3300,x,,,,,4,
FZ83,ANDES_3,discolor,19,III,4.955555556,-74.16388889,2776,x,,,Plate2,1,4,group3
FZ84,ANDES_4,discolor,19,III,4.984722222,-74.14694444,2776,x,,,Plate2,0,4,group3
GL2651,MO4852054,paniculata,19,III,-3.466111111,-79.60416667,2950,x,,,,,4,
JC13460,US1851341,discolor,19,III,7.232777778,-72.45,2880,x,,,,,4,
JH1146,MO2605905,paniculata,19,III,-4.345833333,-79.15583333,2600,x,,,,,4,
JW594,GH_JW594,paniculata,19,III,-6.216666667,-77.81666667,2200,x,,,,,4,
PH6683,MO1838229,paniculata,19,III,-4.646666667,-79.72777778,2800,x,,,,,4,
FV7657,NY_FV7657,schreiteri,29,III,-24.875,-65.69583333,1750,x,,,,,5,
FZ292,MOUNM_FZ292,schreiteri,29,III,-17.84777778,-65.45361111,2724,x,,,,,5,
FZ312,MOUNM_FZ312,schreiteri,29,III,-17.73838889,-64.95744444,2814,x,,,Plate2,1,5,group4
FZ313,MOUNM_FZ313,schreiteri,29,III,-17.73861111,-64.9575,2885,x,,,Plate1,0,5,group4
FZ314,MOUNM_FZ314,schreiteri,29,III,-17.74319444,-64.97341667,2954,x,,,Plate2,1,5,group4
JS10947,MO3218582,schreiteri,29,III,-21.41666667,-64.28333333,1850,x,,,,,5,
JS8624,MO982831,schreiteri,29,III,-17.72638889,-65.15694444,2800,x,,,,,5,
LN3807,MO3863137,schreiteri,29,III,-24.71277778,-65.5,1700,x,,,,,5,
MC5281,L622,schreiteri,29,III,-19.05,-65.2,2700,x,,,,,5,
NL58,MO5785606,schreiteri,29,III,-17.85777778,-64.62694444,1600,x,,,Plate3,0,5,group4
SB9352,L618,schreiteri,29,III,-19.35,-64.25,2400,x,,,,,5,
WB6793,NY_WB6793,schreiteri,29,III,-17.33333333,-66.13333333,2800,x,,,,,5,
WR1529,F_WR1529,schreiteri,29,III,-13.51666667,-72.56666667,2800,x,,,,,5,
FZ128,,discolor,,III,5.89,-73.06,3081,,,x,Plate2,1,,group3
FZ129,,discolor,,III,5.9,-73.06,3177,,,x,Plate2,0,,group3
FZ164,MOUNM_FZ164,resinosa,24,III,-13.48752778,-71.9905,3776,,x,,Plate2,0,,group1
FZ202,MOUNM_FZ202,paniculata,19,III,-13.18172222,-71.59766667,3186,,x,,Plate2,0,,group5
FZ208,MOUNM_FZ208,piurensis,24,III,-6.784972222,-77.93680556,2818,,x,,Plate1,0,,group1
FZ210,MOUNM_FZ210,piurensis,24,III,-6.784972222,-77.93680556,2818,,x,,Plate2,0,,group1
FZ237,MOUNM_FZ237,piurensis,24,III,-7.328138889,-78.81075,2709,,x,,Plate2,0,,group1
FZ238,MOUNM_FZ238,piurensis,24,III,-7.328138889,-78.81075,2709,,x,,Plate2,0,,group1
FZ266,MOUNM_FZ266,paniculata,19,III,-16.3,-67.8,3020,,x,,Plate2,0,,group5
FZ277,MOUNM_FZ277,resinosa,24,III,-17.79208333,-65.48758333,3352,,x,,Plate1,0,,group2
FZ283,MOUNM_FZ283,schreiteri,29,III,-17.83813889,-65.44902778,2876,,x,,Plate2,0,,group4
FZ284,MOUNM_FZ284,schreiteri,29,III,-17.83833333,-65.44902778,2876,,x,,Plate2,0,,group4
FZ286,MOUNM_FZ286,schreiteri,29,III,-17.84027778,-65.45,2757,,x,,Plate2,0,,group4
FZ293,MOUNM_FZ293,reticulata,25,III,-18.17491667,-63.83616667,1707,,x,,Plate2,0,,group6
FZ294,MOUNM_FZ294,reticulata,25,III,-18.17619444,-63.83527778,1701,,x,,Plate3,0,,group6
FZ295,MOUNM_FZ295,reticulata,25,III,-18.17577778,-63.82022222,1885,,x,,Plate1,0,,group6
FZ296,MOUNM_FZ296,reticulata,25,III,-18.17641667,-63.82252778,1868,,x,,Plate2,0,,group6
FZ297,MOUNM_FZ297,reticulata,25,III,-18.17875,-63.83052778,1701,,x,,Plate2,0,,group6
FZ298,MOUNM_FZ298,reticulata,25,III,-18.17841667,-63.82230556,1941,,x,,Plate2,0,,group6
FZ300,MOUNM_FZ300,reticulata,25,III,-18.18083333,-63.84244444,1860,,x,,Plate2,1,,group6
FZ301,MOUNM_FZ301,reticulata,25,III,-18.18069444,-63.8425,1862,,x,,Plate2,0,,group6
FZ315,MOUNM_FZ315,resinosa,24,III,-17.75197222,-65.02422222,3024,,x,,Plate2,0,,group2
FZ85,,discolor,,III,4.981388889,-74.20333333,3160,,,x,Plate2,0,,group3
FZU10132A,MO2962952,schreiteri,29,III,-24.8911111,-65.6755556,1625,,x,,Plate3,0,,group4
FZU10272,MO2214859,schreiteri,29,III,-23.6483333,-64.9366666,1670,,x,,Plate2,1,,group4
FZU10403,MO2247565,schreiteri,29,III,-21.4586111,-64.3383333,2050,,x,,Plate2,0,,group4
AJ2794,NY_AJ2794,reticulata,25,III,-17.85605556,-64.35866667,2400,,x,,,,,
DN15369,MOUNM_DN15369,paniculata,19,III,-4.484444444,-79.13305556,2570,,x,,,,,
FZ162,MOUNM_FZ162,resinosa,24,III,-13.50383333,-71.9805,3629,,x,,,,,
FZ166,MOUNM_FZ166,resinosa,24,III,-13.54597222,-71.943,3350,,x,,,,,
FZ173,MOUNM_FZ173,resinosa,24,III,-14.08213889,-71.36888889,3553,,x,,,,,
FZ175,MOUNM_FZ175,resinosa,24,III,-14.08213889,-71.36888889,3553,,x,,,,,
FZ185,MOUNM_FZ185,resinosa,24,III,-13.1985,-72.29644444,3212,,x,,,,,
FZ209,MOUNM_FZ209,piurensis,24,III,-6.784972222,-77.93680556,2818,,x,,,,,
FZ268,MOUNM_FZ268,paniculata,19,III,-16.30888889,-67.81361111,2970,,x,,,,,
FZ278,MOUNM_FZ278,resinosa,24,III,-17.79208333,-65.48758333,3352,,x,,,,,
FZ279,MOUNM_FZ279,resinosa,24,III,-17.79208333,-65.48758333,3352,,x,,,,,
FZ282,MOUNM_FZ282,resinosa,24,III,-17.81333333,-65.47305556,3150,,x,,,,,
FZ285,MOUNM_FZ285,schreiteri,29,III,-17.83813889,-65.44916667,2876,,x,,,,,
FZ288,MOUNM_FZ288,schreiteri,29,III,-17.84316667,-65.46086111,2756,,x,,,,,
FZ302,MOUNM_FZ302,reticulata,25,III,-18.18083333,-63.84244444,1877,,x,,,,,
FZ303,MOUNM_FZ303,resinosa,24,III,-17.84583333,-64.62666667,2598,,x,,,,,
FZ309,MOUNM_FZ309,resinosa,24,III,-17.82080556,-64.76797222,3030,,x,,,,,
RS7875,US1988746,paniculata,19,III,1.1125,-77.4,2500,,x,,,,,
DS4998,MO5000283,polifolia,22,IV,-6.75,-77.8,3000,x,,,,,1,
FZ223,MO6280711,polifolia,22,IV,-6.712777778,-77.85361111,3170,x,,,Plate3,1,1,group3
FZ224,MO6280712,polifolia,22,IV,-6.713055556,-77.85277778,3170,x,,,Plate1,0,1,group3
FZ225,MO6280699,polifolia,22,IV,-6.713333333,-77.85361111,3170,x,,,Plate3,1,1,group3
FZ226,MO6280700,polifolia,22,IV,-6.713055556,-77.85333333,3170,x,,,Plate1,0,1,group3
JB1810,MO5000282,polifolia,22,IV,-6.741666667,-77.87333333,3500,x,,,,,1,
JL11384,MO5000284,polifolia,22,IV,-6.75,-77.8,3000,x,,,,,1,
JL5574,MO5000285,polifolia,22,IV,-6.749722222,-77.77194444,2900,x,,,,,1,
PHV5511,MO01833697,polifolia,22,IV,-6.711944444,-77.75666667,3100,x,,,,,1,
AB3728,US2831869,myrtilloides,17,IV,7.266666667,-72.91666667,3100,x,,,,,2,
AC3134,NY_AC3134,myrtilloides,17,IV,4.566666667,-74.03333333,3500,x,,,,,2,
AF8711,MOUNM_AF8711,myrtilloides,17,IV,-14.655,-68.96305556,3300,x,,,,,2,
AL7565,MO2272745,myrtilloides,17,IV,-9.3725,-77.24166667,3800,x,,,,,2,
AM8010,MOUNM_AM8010,myrtilloides,17,IV,-10.2,-75.38333333,3250,x,,,,,2,
BO8614,MO2809855,myrtilloides,17,IV,0.333333333,-78,3700,x,,,,,2,
CU1445,MO6087462,myrtilloides,17,IV,-3.105,-79.21722222,3319,x,,,Plate3,0,2,group1
CU1449,MO6087458,myrtilloides,17,IV,-2.937222222,-78.71166667,2926,x,,,,,2,
DS10115,MO3314958,myrtilloides,17,IV,-9.7,-77.31666667,4100,x,,,,,2,
FG3239,NY_FG3239,myrtilloides,17,IV,5.65,-73.31666667,3000,x,,,,,2,
FL4756,US1360264,myrtilloides,17,IV,2.525,-76.18666667,3450,x,,,,,2,
FL7708,US1360190,myrtilloides,17,IV,2.524722222,-76.18638889,3500,x,,,,,2,
FZ169,MO6354357,myrtilloides,17,IV,-14.0575,-71.33361111,3902,x,,,Plate5,1,2,group4
FZ170,MO6354358,myrtilloides,17,IV,-14.05805556,-71.33361111,3900,x,,,Plate5,0,2,group4
FZ176,MO6354361,myrtilloides,17,IV,-13.15805556,-72.27805556,3732,x,,,Plate5,0,2,group4
FZ177,MOUNM_FZ177,myrtilloides,17,IV,-13.1575,-72.27777778,3727,x,,,Plate5,1,2,group4
FZ178,MO6354362,myrtilloides,17,IV,-13.15638889,-72.27944444,3697,x,,,Plate5,0,2,group4
FZ181,MO6354365,myrtilloides,17,IV,-13.17722222,-72.29,3566,x,,,Plate5,0,2,group4
FZ184,MO6354364,myrtilloides,17,IV,-13.17736111,-72.28972222,3566,x,,,Plate5,0,2,group4
