MolecularSampleName,group1,group2
FZ241_E_micrantha_Plate3,0,1
FZ242_E_micrantha_Plate1,0,1
FZ243_E_micrantha_Plate3,0,1
FZ245A_E_micrantha_Plate1,0,1
FZ289_E_millegrana_Plate1,1,0
FZ290_E_millegrana_Plate3,1,0
FZ291_E_millegrana_Plate3,1,0
FZ311_E_millegrana_Plate3,1,0
FZU10219A_E_millegrana_Plate1,1,0
FZU10362A_E_millegrana_Plate3,1,0
FZU10362C_E_millegrana_Plate3,1,0
FZU10398A_E_millegrana_Plate1,1,0
FZU10398D_E_millegrana_Plate3,1,0
FZU10413_E_millegrana_Plate3,1,0
