"","MclustDR_Dir1","BestModel_Classification","BestModel_ProbAssign1","BestModel_ProbAssign2","SpecimenID","Elevation","Latitude","Longitude"
"1",0.546746420358224,1,0.999999525266432,4.74733568526466e-07,"AG22671",2000,-5.816666667,-79.51666667
"2",-0.0833166909597312,2,0.00182335011601251,0.998176649883987,"AJ1598",1385,-18.33333333,-64.48333333
"3",-0.200813776593253,2,7.81446488076384e-05,0.999921855351192,"AS148",1850,-22.29805556,-64.68027778
"4",0.562772022633888,1,0.999998053367206,1.94663279433165e-06,"AS15247",2100,-7.468333333,-78.77833333
"5",-0.255277063497162,2,5.16887312095083e-06,0.999994831126879,"AS34715",2200,-23.08333333,-64.86666667
"6",0.411976495180325,1,0.999965912996434,3.40870035658596e-05,"AS8791",1850,-7.084444444,-79.04527778
"7",0.527023949289486,1,0.999997085541336,2.91445866400941e-06,"AS9297",2500,-7.380833333,-78.89555556
"8",0.358477715312187,1,0.998359301931249,0.00164069806875126,"BK493",1900,-4.683333333,-79.71666667
"9",0.255373137211269,1,0.988553162221296,0.0114468377787039,"FZ241",2124,-7.074583333,-79.05105556
"10",0.318493645834669,1,0.998583589175069,0.00141641082493125,"FZ242",2124,-7.074611111,-79.05108333
"11",0.312976901206583,1,0.997793826841761,0.00220617315823896,"FZ243",2118,-7.072111111,-79.04830556
"12",0.305190644199938,1,0.9969635432309,0.00303645676909984,"FZ245A",2118,-7.072222222,-79.04833333
"13",-0.110820151378079,2,0.000562870411038585,0.999437129588961,"FZU10219A",1650,-24.23444444,-65.07916667
"14",-0.235901437256442,2,7.05502643257951e-05,0.999929449735674,"FZU10362A",1625,-22.31194444,-64.71444444
"15",-0.20539229192663,2,0.00020799214463132,0.999792007855369,"FZU10398A",2360,-21.44138889,-64.38416667
"16",-0.289809199528378,2,2.26141061746268e-06,0.999997738589383,"FZU10398C",2360,-21.44138889,-64.38416667
"17",-0.450592816492209,2,1.08457892060733e-08,0.999999989154211,"FZU10413",1160,-21.46472222,-64.14305556
"18",-0.118748560582983,2,0.0012249190006849,0.998775080999315,"IV108",1900,-18.41666667,-64.11666667
"19",-0.0793898131397391,2,0.00159695750196414,0.998403042498036,"IV940",2050,-18.51805556,-64.08555556
"20",-0.102755984516547,2,0.00237790160728605,0.997622098392714,"JG492",1850,-20.73333333,-64.5
"21",-0.145156770673132,2,0.000507023051048017,0.999492976948952,"JS10229",2000,-21.9,-64.68333333
"22",-0.260484884785934,2,9.89252779167911e-06,0.999990107472208,"JS10315",2050,-21.48333333,-64.33333333
"23",-0.132328535409054,2,0.000200397840544685,0.999799602159455,"JS17904",2950,-17.7,-64.86666667
"24",0.00497421421214883,2,0.00813249109103032,0.99186750890897,"JW11737",2000,-18.20333333,-64.97777778
"25",-0.115143880352373,2,0.000783307205239468,0.99921669279476,"JW8314",2100,-21.88444444,-64.90277778
"26",-0.308920074394548,2,1.4605472245868e-06,0.999998539452776,"JW8984",2500,-18.84722222,-65.22111111
"27",-0.268665239176769,2,5.34590639795567e-07,0.99999946540936,"MBL1130",NA,NA,NA
"28",0.380967337880668,1,0.999715095540004,0.000284904459995471,"MD6482",1900,-7.416666667,-78.71666667
"29",-0.314708761353142,2,8.6858740320533e-07,0.999999131412597,"MS7323",1696,-21.75833333,-64.30583333
"30",0.191587728457457,1,0.95490750762084,0.0450924923791603,"PJ98",2400,-4.091666667,-79.93333333
"31",-0.152026592830262,2,0.000589474966282671,0.999410525033717,"RK3415",1350,-24.16666667,-65.23333333
"32",-0.235669701113083,2,1.77737530911238e-06,0.999998222624691,"RR71",1228,-18.55,-64.63333333
"33",-0.110637985817392,2,0.000289347025023625,0.999710652974976,"WE25045",2700,-17.98333333,-65.6
