Clade,Number of loci,Model,Genogroups,Marginal likelihood,Rank,Bayes Factor
I,2320,GC,3,-6580.4946,1,-
,,RI\textsuperscript{a}/RI\textsuperscript{b}/CA,2,-6754.4946,2,348
