"","numMorphGroups","BIC.Best.Model.Per.G","taxonBIC","morphoGroupsBIC","deltaBIC_naive","deltaBIC_taxon","deltaBIC_morphoGroups"
"1",1,47.5278520687378,NA,47.5278520687378,24.2019055795501,NA,24.2019055795501
"2",2,68.0464211653714,17.7734644621212,NA,3.68333648291643,53.9562931861666,NA
"3",3,71.7297576482879,NA,NA,0,NA,NA
